datetime,P_0.02m,P_0.06m,P_0.10m,P_0.14m,P_0.18m,P_0.22m,P_0.26m
20/06/2024 15:15,21.61866877,20.8035922,20.16373253,19.67187651,19.31779646,19.03020506,18.80396719
20/06/2024 15:30,21.80451319,20.94908285,20.27366257,19.74787482,19.36730741,19.06065398,18.82201452
20/06/2024 15:45,21.97934458,21.09700345,20.38511276,19.82516822,19.41836523,19.09249335,18.84084959
20/06/2024 16:00,22.14014551,21.23770666,20.4978714,19.90577468,19.4721639,19.12614851,18.86116857
20/06/2024 16:15,22.31006739,21.37787198,20.61167717,19.99020728,19.53008055,19.16353445,18.88395185
20/06/2024 16:30,22.46513293,21.52034521,20.72704506,20.07652625,19.59117101,19.20389967,18.90907545
20/06/2024 16:45,22.57515833,21.64016485,20.8364315,20.16284903,19.65401434,19.24675398,18.93694563
20/06/2024 17:00,22.68935511,21.7556796,20.94228554,20.24831542,19.71772932,19.29123717,18.96648664
20/06/2024 17:15,22.76923678,21.86263799,21.04567909,20.33528098,19.78436636,19.33866339,18.99875135
20/06/2024 17:30,22.84099886,21.96496915,21.14660263,20.42135199,19.85255979,19.38882285,19.03357954
20/06/2024 17:45,22.93293879,22.05908918,21.24320221,20.50873145,19.92369627,19.44271689,19.07246847
20/06/2024 18:00,23.03390429,22.15871381,21.34041214,20.59560355,19.99572347,19.49861174,19.11370344
20/06/2024 18:15,23.10883829,22.25096845,21.43572235,20.68359145,20.07022833,19.55744009,19.15795774
20/06/2024 18:30,23.24688837,22.3655734,21.53570175,20.77025946,20.14334463,19.61632567,19.20311422
20/06/2024 18:45,23.23483202,22.44528722,21.63271713,20.85892256,20.2186601,19.67690688,19.25014753
20/06/2024 19:00,23.00321886,22.42492437,21.70427704,20.95039328,20.30519842,19.74895697,19.30642195
20/06/2024 19:15,22.75260088,22.34582471,21.74416733,21.04625663,20.41263174,19.84401923,19.38103361
20/06/2024 19:30,22.52688334,22.235538,21.74272728,21.11698111,20.50988554,19.93917494,19.46032018
20/06/2024 19:45,22.38861773,22.13547658,21.71348953,21.15387686,20.58093809,20.01976614,19.53349561
20/06/2024 20:00,22.27979204,22.0549674,21.68231964,21.17596778,20.63630461,20.08903342,19.59995336
20/06/2024 20:15,22.34803316,22.03714895,21.66151047,21.18833693,20.67567037,20.14353018,19.65603895
20/06/2024 20:30,22.47263071,22.06568288,21.66229057,21.19890746,20.70351194,20.18456297,19.70184202
20/06/2024 20:45,22.58512423,22.11905431,21.68008232,21.21077307,20.72533773,20.21873312,19.74214048
20/06/2024 21:00,22.64018557,22.16851186,21.70940018,21.23131903,20.74965452,20.25152045,19.77991171
20/06/2024 21:15,22.61744234,22.19188642,21.73803711,21.25482711,20.77255033,20.27854567,19.81099005
20/06/2024 21:30,22.53200648,22.17847394,21.7510376,21.2718254,20.79027914,20.29939871,19.8361289
20/06/2024 21:45,22.42340586,22.13729619,21.74628067,21.28032645,20.80327581,20.31631499,19.85737295
20/06/2024 22:00,22.29637072,22.07323026,21.72427177,21.27911719,20.81032919,20.3286212,19.87483854
20/06/2024 22:15,22.159116,21.99451971,21.68729591,21.2673088,20.81133245,20.33750182,19.88966055
20/06/2024 22:30,22.01921007,21.90674161,21.63990402,21.24782332,20.80778669,20.34393149,19.90239401
20/06/2024 22:45,21.87661288,21.81209707,21.58490372,21.22220381,20.80061506,20.34774046,19.91345663
20/06/2024 23:00,21.73493502,21.71328496,21.52363777,21.19106063,20.78970693,20.34986525,19.92289419
20/06/2024 23:15,21.60178492,21.6134696,21.45794868,21.15494307,20.77451872,20.34854155,19.93049879
20/06/2024 23:30,21.48353693,21.51667165,21.3893261,21.11444243,20.75563787,20.3445571,19.93597669
20/06/2024 23:45,21.37881777,21.42492628,21.31997871,21.07044944,20.73246168,20.33712607,19.93875189
21/06/2024 00:00,21.27249453,21.33670568,21.25240326,21.02670821,20.70944189,20.32960349,19.94106359
21/06/2024 00:15,21.15448115,21.24448919,21.18313217,20.98047217,20.68337797,20.31955367,19.94168157
21/06/2024 00:30,21.04399988,21.15283727,21.11283302,20.93237838,20.65464948,20.30637007,19.93975324
21/06/2024 00:45,20.92736933,21.0589919,21.04110718,20.88229712,20.62336515,20.29061728,19.93518896
21/06/2024 01:00,20.81444857,20.96618223,20.96941948,20.83165702,20.59125494,20.27381354,19.92977781
21/06/2024 01:15,20.71416399,20.87579297,20.89689255,20.77985343,20.55782675,20.25537138,19.92252607
21/06/2024 01:30,20.63516924,20.7943263,20.82584953,20.72637328,20.52168249,20.23448782,19.91320295
21/06/2024 01:45,20.55686114,20.71802473,20.75774384,20.67312773,20.48508619,20.2124446,19.9025485
21/06/2024 02:00,20.47084734,20.64115667,20.69158554,20.62054595,20.44733404,20.1889041,19.89055128
21/06/2024 02:15,20.38952563,20.56811284,20.626894,20.56830748,20.40896581,20.16377859,19.87675733
21/06/2024 02:30,20.29473612,20.48828268,20.56122589,20.51605948,20.37031149,20.13796263,19.8619277
21/06/2024 02:45,20.21555254,20.41282415,20.49571609,20.4633499,20.33065962,20.1104167,19.84518881
21/06/2024 03:00,20.14934466,20.34394979,20.43237305,20.4112049,20.29117941,20.08309012,19.82811422
21/06/2024 03:15,20.10268709,20.28516149,20.37305069,20.36014708,20.25126241,20.05445891,19.80966635
21/06/2024 03:30,20.04877589,20.22572088,20.31566429,20.31033667,20.21186994,20.02576857,19.79072637
21/06/2024 03:45,20.0018799,20.17317914,20.26229858,20.26213797,20.17249655,19.99654227,19.77104826
21/06/2024 04:00,19.95167086,20.12218809,20.21152115,20.21551665,20.13347791,19.96685439,19.75027342
